profile,buurt_code,buren,value,n_sample
1,BU00340101,BU00340101,26.82,1352
2,BU00340101,BU00340101,13.03,1352
3,BU00340101,BU00340101,22.08,1352
4,BU00340101,BU00340101,29.1,1352
5,BU00340101,BU00340101,8.97,1352
1,BU00340102,BU00340102,27.44,1780
2,BU00340102,BU00340102,12.23,1780
3,BU00340102,BU00340102,22.42,1780
4,BU00340102,BU00340102,29.73,1780
5,BU00340102,BU00340102,8.18,1780
1,BU00340201,BU00340201,26.51,655
2,BU00340201,BU00340201,12.33,655
3,BU00340201,BU00340201,22.95,655
4,BU00340201,BU00340201,29.38,655
5,BU00340201,BU00340201,8.83,655
1,BU00340202,BU00340202,27.78,2441
2,BU00340202,BU00340202,11.92,2441
3,BU00340202,BU00340202,21.92,2441
4,BU00340202,BU00340202,30.54,2441
5,BU00340202,BU00340202,7.84,2441
1,BU00340203,BU00340203,27.27,361
2,BU00340203,BU00340203,11.99,361
3,BU00340203,BU00340203,21.96,361
4,BU00340203,BU00340203,30.81,361
5,BU00340203,BU00340203,7.97,361
1,BU00340204,BU00340204,27.89,2196
2,BU00340204,BU00340204,12.73,2196
3,BU00340204,BU00340204,22.22,2196
4,BU00340204,BU00340204,29.6,2196
5,BU00340204,BU00340204,7.56,2196
1,BU00340205,BU00340205,26.78,1702
2,BU00340205,BU00340205,11.62,1702
3,BU00340205,BU00340205,23.16,1702
4,BU00340205,BU00340205,30.62,1702
5,BU00340205,BU00340205,7.82,1702
1,BU00340301,BU00340301,28.08,2492
2,BU00340301,BU00340301,12.97,2492
3,BU00340301,BU00340301,23.02,2492
4,BU00340301,BU00340301,28.17,2492
5,BU00340301,BU00340301,7.76,2492
1,BU00340302,BU00340302,28.22,470
2,BU00340302,BU00340302,11.6,470
3,BU00340302,BU00340302,22.4,470
4,BU00340302,BU00340302,29.58,470
5,BU00340302,BU00340302,8.2,470
1,BU00340303,BU00340303,26.8,2285
2,BU00340303,BU00340303,12.84,2285
3,BU00340303,BU00340303,22.33,2285
4,BU00340303,BU00340303,29.49,2285
5,BU00340303,BU00340303,8.54,2285
1,BU00340304,BU00340304,27.66,882
2,BU00340304,BU00340304,11.95,882
3,BU00340304,BU00340304,22.6,882
4,BU00340304,BU00340304,28.78,882
5,BU00340304,BU00340304,9.01,882
1,BU00340401,BU00340401,27.25,1542
2,BU00340401,BU00340401,12.55,1542
3,BU00340401,BU00340401,22.31,1542
4,BU00340401,BU00340401,29.44,1542
5,BU00340401,BU00340401,8.45,1542
1,BU00340402,BU00340402,27.29,756
2,BU00340402,BU00340402,12.51,756
3,BU00340402,BU00340402,23.08,756
4,BU00340402,BU00340402,28.37,756
5,BU00340402,BU00340402,8.75,756
1,BU00340403,BU00340403,27.99,1992
2,BU00340403,BU00340403,12.22,1992
3,BU00340403,BU00340403,22.8,1992
4,BU00340403,BU00340403,29.09,1992
5,BU00340403,BU00340403,7.9,1992
1,BU00340501,BU00340501,27.53,1021
2,BU00340501,BU00340501,11.78,1021
3,BU00340501,BU00340501,22.77,1021
4,BU00340501,BU00340501,29.64,1021
5,BU00340501,BU00340501,8.28,1021
1,BU00340502,BU00340502,27.61,1017
2,BU00340502,BU00340502,11.4,1017
3,BU00340502,BU00340502,22.72,1017
4,BU00340502,BU00340502,29.7,1017
5,BU00340502,BU00340502,8.57,1017
1,BU00340503,BU00340503,27.3,704
2,BU00340503,BU00340503,11.84,704
3,BU00340503,BU00340503,22.8,704
4,BU00340503,BU00340503,29.86,704
5,BU00340503,BU00340503,8.2,704
1,BU00340504,BU00340504,26.83,2236
2,BU00340504,BU00340504,11.83,2236
3,BU00340504,BU00340504,22.26,2236
4,BU00340504,BU00340504,30.29,2236
5,BU00340504,BU00340504,8.79,2236
1,BU00340601,BU00340601,27.07,2013
2,BU00340601,BU00340601,12.19,2013
3,BU00340601,BU00340601,22.44,2013
4,BU00340601,BU00340601,29.86,2013
5,BU00340601,BU00340601,8.44,2013
1,BU00340602,BU00340602,27.94,704
2,BU00340602,BU00340602,11.7,704
3,BU00340602,BU00340602,23.08,704
4,BU00340602,BU00340602,29.28,704
5,BU00340602,BU00340602,8,704
1,BU00340603,BU00340603,27.76,1095
2,BU00340603,BU00340603,12.49,1095
3,BU00340603,BU00340603,22.75,1095
4,BU00340603,BU00340603,29.19,1095
5,BU00340603,BU00340603,7.81,1095
1,BU00340604,BU00340604,27.96,1871
2,BU00340604,BU00340604,12.57,1871
3,BU00340604,BU00340604,22.84,1871
4,BU00340604,BU00340604,28.98,1871
5,BU00340604,BU00340604,7.65,1871
1,BU00340605,BU00340605,27.23,1346
2,BU00340605,BU00340605,11.57,1346
3,BU00340605,BU00340605,22.62,1346
4,BU00340605,BU00340605,30.19,1346
5,BU00340605,BU00340605,8.39,1346
1,BU00340606,BU00340606,27.66,1489
2,BU00340606,BU00340606,11.94,1489
3,BU00340606,BU00340606,22.57,1489
4,BU00340606,BU00340606,29.49,1489
5,BU00340606,BU00340606,8.34,1489
1,BU00340701,BU00340701,28.02,1622
2,BU00340701,BU00340701,12.69,1622
3,BU00340701,BU00340701,21.73,1622
4,BU00340701,BU00340701,29.05,1622
5,BU00340701,BU00340701,8.51,1622
1,BU00340702,BU00340702,27.78,1460
2,BU00340702,BU00340702,11.91,1460
3,BU00340702,BU00340702,21.77,1460
4,BU00340702,BU00340702,30.59,1460
5,BU00340702,BU00340702,7.95,1460
1,BU00340703,BU00340703,27.94,1932
2,BU00340703,BU00340703,11.59,1932
3,BU00340703,BU00340703,22.03,1932
4,BU00340703,BU00340703,30.22,1932
5,BU00340703,BU00340703,8.22,1932
1,BU00340704,BU00340704,27.93,1584
2,BU00340704,BU00340704,13.2,1584
3,BU00340704,BU00340704,21.74,1584
4,BU00340704,BU00340704,29.5,1584
5,BU00340704,BU00340704,7.63,1584
1,BU00340802,BU00340802,27.09,2409
2,BU00340802,BU00340802,12.83,2409
3,BU00340802,BU00340802,22.26,2409
4,BU00340802,BU00340802,29.55,2409
5,BU00340802,BU00340802,8.27,2409
1,BU00340803,BU00340803,27.19,1393
2,BU00340803,BU00340803,12.46,1393
3,BU00340803,BU00340803,23.38,1393
4,BU00340803,BU00340803,28.82,1393
5,BU00340803,BU00340803,8.15,1393
1,BU00340901,BU00340901,27.44,496
2,BU00340901,BU00340901,12.12,496
3,BU00340901,BU00340901,23.08,496
4,BU00340901,BU00340901,29.65,496
5,BU00340901,BU00340901,7.71,496
1,BU00340902,BU00340902,27.25,1435
2,BU00340902,BU00340902,11.75,1435
3,BU00340902,BU00340902,22.87,1435
4,BU00340902,BU00340902,29.5,1435
5,BU00340902,BU00340902,8.63,1435
1,BU00341001,BU00341001,26.76,1123
2,BU00341001,BU00341001,13,1123
3,BU00341001,BU00341001,22.75,1123
4,BU00341001,BU00341001,29.42,1123
5,BU00341001,BU00341001,8.07,1123
1,BU00341002,BU00341002,27.09,569
2,BU00341002,BU00341002,13.21,569
3,BU00341002,BU00341002,22.65,569
4,BU00341002,BU00341002,29.08,569
5,BU00341002,BU00341002,7.97,569
1,BU00341003,BU00341003,28,970
2,BU00341003,BU00341003,11.73,970
3,BU00341003,BU00341003,22.03,970
4,BU00341003,BU00341003,30.09,970
5,BU00341003,BU00341003,8.15,970
1,BU00341101,BU00341101,27.85,478
2,BU00341101,BU00341101,11.65,478
3,BU00341101,BU00341101,22.75,478
4,BU00341101,BU00341101,30.11,478
5,BU00341101,BU00341101,7.64,478
1,BU00341102,BU00341102,27.27,1308
2,BU00341102,BU00341102,12.9,1308
3,BU00341102,BU00341102,22.29,1308
4,BU00341102,BU00341102,29.47,1308
5,BU00341102,BU00341102,8.07,1308
1,BU00341401,BU00341401,27.45,2220
2,BU00341401,BU00341401,11.65,2220
3,BU00341401,BU00341401,22.93,2220
4,BU00341401,BU00341401,29.21,2220
5,BU00341401,BU00341401,8.76,2220
1,BU00341501,BU00341501,28.18,273
2,BU00341501,BU00341501,11.98,273
3,BU00341501,BU00341501,22.77,273
4,BU00341501,BU00341501,28.75,273
